max_df,min_df,phrase_len,alpha,lin_reg_mse,lasso_mse,ridge_mse,baseline_mse
0.1,0.0,5,1,898.941265185313,928.2324999999989,902.3760636078098,928.2324999999989
0.1,0.0,5,1,9694.319938760327,9739.185624999998,9712.309388661637,9739.185624999998
0.1,0.0,5,10,10100.25401340143,10124.017656250002,10119.89302336844,10124.017656250002
0.1,0.0,5,10,1022.4747380542685,1037.7099999999969,1036.4024669911719,1037.7099999999969
0.1,0.0,5,10,1052.119495144171,1090.89140625,1086.3013811002795,1090.89140625
0.1,0.0,5,10,1092.555841247712,1120.5200000000025,1117.1876327758368,1120.5200000000025
0.1,0.0,5,10,1093.0028161315213,1092.940625,1092.499205064569,1092.940625
0.1,0.0,5,10,1365.906622243449,1406.053906250001,1401.8468664928796,1406.053906250001
0.1,0.0,5,10,1477.760008432969,1566.0364062499975,1556.9138057653786,1566.0364062499975
0.1,0.0,5,10,1510.1407970486955,1544.17890625,1541.6990629599613,1544.17890625
0.1,0.0,5,10,3617.3630801924833,3684.0856250000006,3677.094025528094,3684.0856250000006
0.1,0.0,5,10,898.941265185313,928.2324999999989,925.4651087346141,928.2324999999989
0.1,0.0,5,10,9694.319938760327,9739.185624999998,9734.549570769952,9739.185624999998
0.1,0.0,5,100,10100.25401340143,10124.017656250002,10123.51500828989,10124.017656250002
0.1,0.0,5,100,1022.4747380542685,1037.7099999999969,1039.998428630696,1037.7099999999969
0.1,0.0,5,100,1052.119495144171,1090.89140625,1090.0731582358633,1090.89140625
0.1,0.0,5,100,1092.555841247712,1120.5200000000025,1121.8539022620826,1120.5200000000025
0.1,0.0,5,100,1093.0028161315213,1092.940625,1093.1286601102422,1092.940625
0.1,0.0,5,100,1365.906622243449,1406.053906250001,1406.8841254453887,1406.053906250001
0.1,0.0,5,100,1477.760008432969,1566.0364062499975,1573.6693245071997,1566.0364062499975
0.1,0.0,5,100,1510.1407970486955,1544.17890625,1544.8208728885722,1544.17890625
0.1,0.0,5,100,3617.3630801924833,3684.0856250000006,3683.2844911698025,3684.0856250000006
0.1,0.0,5,100,898.941265185313,928.2324999999989,928.4976914223731,928.2324999999989
0.1,0.0,5,100,9694.319938760327,9739.185624999998,9738.349377976512,9739.185624999998
0.1,0.0,7,0.0001,1148.7914731335397,1572.5393953510456,1149.1520953170225,1176.465625000002
0.1,0.0,7,0.0001,13820.118739946585,15056.26842183957,13823.797103282632,14081.770000000004
0.1,0.0,7,0.0001,1390.3892382389859,1327.0115473503524,1389.2817651265862,1424.6489062499984
0.1,0.0,7,0.0001,1606.343449019619,1646.37157172734,1604.8532883190405,1649.99765625
0.1,0.0,7,0.0001,16474.21809420038,17076.25157175968,16473.727652393838,16743.98640624999
0.1,0.0,7,0.0001,4205.66830653165,4473.301719712818,4205.619478578126,4270.0739062500015
0.1,0.0,7,0.0001,4209.738114502608,3816.2731871840915,4209.942507213333,4491.560625000003
0.1,0.0,7,0.0001,4257.317400715991,4529.904737698643,4257.183514709159,4278.615625
0.1,0.0,7,0.0001,9400.894664861364,10326.273711105636,9404.228578164659,9388.585624999996
0.1,0.0,7,0.0001,957.0531519899854,1091.167097612602,955.4246726533014,971.60390625
